ds,y
2024-07-02,13551
2024-07-03,9064
2024-07-04,9562
2024-07-05,11444
2024-07-06,9136
2024-07-07,7049
2024-07-08,13818
2024-07-09,9978
2024-07-10,11302
2024-07-11,10917
2024-07-12,10050
2024-07-13,6881
2024-07-14,6567
2024-07-15,8519
2024-07-16,10747
2024-07-17,13031
2024-07-18,10278
2024-07-19,10332
2024-07-20,8027
2024-07-21,7436
2024-07-22,9094
2024-07-23,9230
2024-07-24,8544
2024-07-25,12344
2024-07-26,14589
2024-07-27,6023
2024-07-28,8590
2024-07-29,11991
2024-07-30,9163
2024-07-31,9495
2024-08-01,12014
2024-08-02,7988
2024-08-03,7192
2024-08-04,8492
2024-08-05,8479
2024-08-06,11076
2024-08-07,9052
2024-08-08,8683
2024-08-09,8169
2024-08-10,7490
2024-08-11,7068
2024-08-12,7889
2024-08-13,8542
2024-08-14,8781
2024-08-15,7589
2024-08-16,8554
2024-08-17,5712
2024-08-18,6379
2024-08-19,8112
2024-08-20,8271
2024-08-21,7673
2024-08-22,7980
2024-08-23,8858
2024-08-24,6505
2024-08-25,6738
2024-08-26,8259
2024-08-27,9378
2024-08-28,8377
2024-08-29,9612
2024-08-30,11747
2024-08-31,6517
2024-09-01,5424
2024-09-02,6580
2024-09-03,6706
2024-09-04,6609
2024-09-05,7468
2024-09-06,7661
2024-09-07,6719
2024-09-08,904
2024-09-09,366
2024-09-10,435
2024-09-11,396
2024-09-12,233
2024-09-13,417
2024-09-14,682
2024-09-15,344
2024-09-16,411
2024-09-17,532
2024-09-18,455
2024-09-19,192
2024-09-20,444
2024-09-21,427
2024-09-22,6001
2024-09-23,10406
2024-09-24,10934
2024-09-25,9398
2024-09-26,9271
2024-09-27,7939
2024-09-28,7564
2024-09-29,7125
2024-09-30,5176
2024-10-01,5611
2024-10-02,6371
2024-10-03,6063
2024-10-04,7118
2024-10-05,7027
2024-10-06,6901
2024-10-07,7560
2024-10-08,7294
2024-10-09,8119
2024-10-10,8117
2024-10-11,7899
2024-10-12,7356
2024-10-13,8738
2024-10-14,11844
2024-10-15,11025
2024-10-16,11018
2024-10-17,9562
2024-10-18,9365
2024-10-19,8058
2024-10-20,9142
2024-10-21,8539
2024-10-22,10036
2024-10-23,8980
2024-10-24,9462
2024-10-25,9402
2024-10-26,7309
2024-10-27,8149
2024-10-28,8775
2024-10-29,9464
2024-10-30,13080
2024-10-31,8989
2024-11-01,8731
2024-11-02,8489
2024-11-03,8787
2024-11-04,9208
2024-11-05,10588
2024-11-06,8302
2024-11-07,7931
2024-11-08,8408
2024-11-09,8728
2024-11-10,8108
2024-11-11,9539
2024-11-12,7827
2024-11-13,10493
2024-11-14,8999
2024-11-15,36819
2024-11-16,9246
2024-11-17,8702
2024-11-18,8674
2024-11-19,9404
2024-11-20,9259
2024-11-21,9947
2024-11-22,9027
2024-11-23,8356
2024-11-24,7678
2024-11-25,9333
2024-11-26,10408
2024-11-27,12156
2024-11-28,11404
2024-11-29,10284
2024-11-30,10983
2024-12-01,17299
2024-12-02,16332
2024-12-03,13174
2024-12-04,13943
2024-12-05,13204
2024-12-06,11133
2024-12-07,11253
2024-12-08,9827
2024-12-09,10894
2024-12-10,16790
2024-12-11,12971
2024-12-12,9820
2024-12-13,9711
2024-12-14,7896
2024-12-15,9988
2024-12-16,25028
2024-12-17,20617
2024-12-18,17202
2024-12-19,14441
2024-12-20,12327
2024-12-21,11890
2024-12-22,13907
2024-12-23,13323
2024-12-24,11755
2024-12-25,10310
2024-12-26,8938
2024-12-27,9305
2024-12-28,7540
2024-12-29,7827
2024-12-30,10093
2024-12-31,9584
2025-01-01,6415
2025-01-02,9817
2025-01-03,7816
2025-01-04,7441
2025-01-05,8682
2025-01-06,9559
2025-01-07,10072
2025-01-08,8209
2025-01-09,8918
2025-01-10,8126
2025-01-11,6888
2025-01-12,6805
2025-01-13,13335
2025-01-14,8946
2025-01-15,8965
2025-01-16,9112
2025-01-17,9323
2025-01-18,7961
2025-01-19,8761
2025-01-20,8262
2025-01-21,8787
2025-01-22,15750
2025-01-23,10227
2025-01-24,8857
2025-01-25,8697
2025-01-26,6683
2025-01-27,6953
2025-01-28,6410
2025-01-29,5140
2025-01-30,6285
2025-01-31,6209
2025-02-01,5612
2025-02-02,7028
2025-02-03,7778
2025-02-04,8134
2025-02-05,10228
2025-02-06,10341
2025-02-07,9384
2025-02-08,8144
2025-02-09,7475
2025-02-10,9903
2025-02-11,15096
2025-02-12,13375
2025-02-13,12915
2025-02-14,8859
2025-02-15,8186
2025-02-16,5485
2025-02-17,8117
2025-02-18,7810
2025-02-19,7016
2025-02-20,7645
2025-02-21,7921
2025-02-22,8291
2025-02-23,7458
2025-02-24,7320
2025-02-25,13811
2025-02-26,14046
2025-02-27,7776
2025-02-28,8789
2025-03-01,8174
2025-03-02,8839
2025-03-03,8385
2025-03-04,10577
2025-03-05,7502
2025-03-06,7799
2025-03-07,8827
2025-03-08,6818
2025-03-09,9067
2025-03-10,8516
2025-03-11,8315
2025-03-12,10176
2025-03-13,8940
2025-03-14,8004
2025-03-15,9715
2025-03-16,9179
2025-03-17,9243
2025-03-18,10785
2025-03-19,8794
2025-03-20,7567
2025-03-21,7651
2025-03-22,8288
2025-03-23,6972
2025-03-24,7420
2025-03-25,8255
2025-03-26,7447
2025-03-27,8642
2025-03-28,7990
2025-03-29,8756
2025-03-30,9294
2025-03-31,9557
2025-04-01,9082
2025-04-02,8379
2025-04-03,8667
2025-04-04,8020
2025-04-05,7453
2025-04-06,8778
2025-04-07,7715
2025-04-08,6919
2025-04-09,6992
2025-04-10,7670
2025-04-11,7163
2025-04-12,7153
2025-04-13,6761
2025-04-14,6507
2025-04-15,8736
2025-04-16,7477
2025-04-17,7781
2025-04-18,7671
2025-04-19,8270
2025-04-20,6425
2025-04-21,8434
2025-04-22,7268
2025-04-23,8116
2025-04-24,10222
2025-04-25,9019
2025-04-26,8053
2025-04-27,7785
2025-04-28,8272
2025-04-29,11262
2025-04-30,8387
2025-05-01,7081
2025-05-02,7236
2025-05-03,6701
2025-05-04,7570
2025-05-05,6878
2025-05-06,8351
2025-05-07,6994
2025-05-08,7294
2025-05-09,6470
2025-05-10,6659
2025-05-11,7320
2025-05-12,7646
2025-05-13,9325
2025-05-14,8762
2025-05-15,8799
2025-05-16,6631
2025-05-17,9109
2025-05-18,9775
2025-05-19,9397
2025-05-20,8377
2025-05-21,9757
2025-05-22,6796
2025-05-23,7210
2025-05-24,7579
2025-05-25,8266
2025-05-26,9350
2025-05-27,9151
2025-05-28,9317
2025-05-29,12128
2025-05-30,8960
2025-05-31,8227
2025-06-01,6910
2025-06-02,6437
2025-06-03,8033
2025-06-04,7699
2025-06-05,8478
2025-06-06,9721
2025-06-07,8605
2025-06-08,8206
2025-06-09,8662
2025-06-10,8119
2025-06-11,8033
2025-06-12,8773
2025-06-13,6443
2025-06-14,6712
2025-06-15,6288
2025-06-16,7457
2025-06-17,7739
2025-06-18,6485
2025-06-19,8194
2025-06-20,8428
2025-06-21,7666
